code,date,open,high,low,close,volume,amount,source
000001,2026-06-01,10.00,10.30,9.90,10.20,100000,1010000,synthetic
000001,2026-06-02,10.20,10.45,10.10,10.35,105000,1086750,synthetic
000001,2026-06-03,10.35,10.50,10.20,10.28,98000,1007440,synthetic
000001,2026-06-04,10.28,10.60,10.25,10.55,112000,1181600,synthetic
000001,2026-06-05,10.55,10.70,10.40,10.62,108000,1146960,synthetic
000001,2026-06-08,10.62,10.80,10.50,10.75,115000,1236250,synthetic
000001,2026-06-09,10.75,10.90,10.60,10.68,101000,1078680,synthetic
000001,2026-06-10,10.68,10.85,10.55,10.80,109000,1177200,synthetic
000001,2026-06-11,10.80,11.00,10.72,10.95,121000,1324950,synthetic
000001,2026-06-12,10.95,11.10,10.80,11.02,118000,1300360,synthetic
000001,2026-06-15,11.02,11.20,10.90,11.15,124000,1382600,synthetic
000001,2026-06-16,11.15,11.30,11.00,11.08,111000,1229880,synthetic
000001,2026-06-17,11.08,11.25,10.95,11.20,119000,1332800,synthetic
000001,2026-06-18,11.20,11.40,11.10,11.35,128000,1452800,synthetic
000001,2026-06-19,11.35,11.50,11.20,11.42,126000,1438920,synthetic
000001,2026-06-22,11.42,11.60,11.30,11.55,132000,1524600,synthetic
000001,2026-06-23,11.55,11.70,11.40,11.48,116000,1331680,synthetic
000001,2026-06-24,11.48,11.65,11.35,11.60,123000,1426800,synthetic
000001,2026-06-25,11.60,11.80,11.50,11.75,136000,1598000,synthetic
000001,2026-06-26,11.75,11.90,11.60,11.82,133000,1572060,synthetic
000001,2026-06-29,11.82,12.00,11.70,11.95,141000,1684950,synthetic
000001,2026-06-30,11.95,12.10,11.80,11.88,127000,1508760,synthetic
000001,2026-07-01,11.88,12.05,11.75,12.00,134000,1608000,synthetic
000001,2026-07-02,12.00,12.20,11.90,12.15,147000,1786050,synthetic
000001,2026-07-03,12.15,12.30,12.00,12.22,144000,1759680,synthetic
000001,2026-07-06,12.22,12.40,12.10,12.35,151000,1864850,synthetic
000001,2026-07-07,12.35,12.50,12.20,12.28,137000,1682360,synthetic
000001,2026-07-08,12.28,12.45,12.15,12.40,143000,1773200,synthetic
000001,2026-07-09,12.40,12.60,12.30,12.55,156000,1957800,synthetic
000001,2026-07-10,12.55,12.70,12.40,12.62,153000,1930860,synthetic
000001,2026-07-13,12.62,12.80,12.50,12.75,161000,2052750,synthetic
000001,2026-07-14,12.75,12.90,12.60,12.68,146000,1851280,synthetic
000001,2026-07-15,12.68,12.85,12.55,12.80,152000,1945600,synthetic
000001,2026-07-16,12.80,13.00,12.70,12.95,167000,2162650,synthetic
000001,2026-07-17,12.95,13.10,12.80,13.02,164000,2135280,synthetic
000001,2026-07-20,13.02,13.20,12.90,13.15,172000,2261800,synthetic
000001,2026-07-21,13.15,13.30,13.00,13.08,158000,2066640,synthetic
